kabupaten_kota,luas_panen_jahe (m²),luas_panen_kapulaga (m²),luas_panen_keji_beling (m²),luas_panen_kencur (m²),luas_panen_kunyit (m²),luas_panen_laos/lengkuas (m²),luas_panen_lempuyang (m²),luas_panen_lidah_buaya (m²),luas_panen_mahkota_dewa (pohon),luas_panen_mengkudu/pace (pohon),luas_panen_sambiloto (m²),luas_panen_temuireng (m²),luas_panen_temukunci (m²),luas_panen_temulawak (m²),luas_panen_jeruk_nipis (pohon),luas_panen_serai (m²),tahun
Kota Kediri,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023
Kota Blitar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023
Kota Malang,415.0,80.0,0.0,500.0,4195.0,95.0,50.0,160.0,35.0,65.0,50.0,215.0,70.0,305.0,65.0,295.0,2023
Kota Probolinggo,150.0,0.0,0.0,8.0,80.0,19.0,0.0,2.0,0.0,8.0,0.0,0.0,1.0,59.0,0.0,20.0,2023
Kota Pasuruan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,2023
Kota Mojokerto,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023
Kota Madiun,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023
Kota Surabaya,302.0,0.0,0.0,212.0,268.0,40.0,0.0,325.0,10.0,552.0,0.0,6.0,0.0,11.0,25.0,21.0,2023
Kota Batu,86000.0,0.0,0.0,490.0,33050.0,5200.0,75.0,810.0,0.0,0.0,0.0,500.0,0.0,5400.0,60.0,600.0,2023
Pacitan,6432034.0,14212.0,0.0,865422.0,14059442.0,1442292.0,29189.0,1191.0,15.0,1276.0,50000.0,106201.0,36504.0,3317499.0,405.0,34817.0,2024
Ponorogo,1752802.0,194369.0,0.0,263817.0,3085453.0,565961.0,92328.0,1805.0,0.0,7282.0,0.0,52038.0,120437.0,97166.0,3418.0,60919.0,2024
Trenggalek,970274.0,102445.0,0.0,95591.0,802085.0,118435.0,41756.0,105.0,20.0,34026.0,280.0,25025.0,35683.0,91597.0,15445.0,14945.0,2024
Tulungagung,33369.0,22.0,0.0,5337.0,23543.0,15842.0,735.0,619.0,33.0,602.0,74.0,710.0,670.0,6750.0,41621.0,935.0,2024
Blitar,45617.0,16200.0,0.0,9014.0,34832.0,19178.0,172.0,10.0,0.0,1659.0,0.0,431.0,637.0,4654.0,9249.0,2915.0,2024
Kediri,61252.0,29002.0,0.0,840.0,4121275.0,9115.0,500.0,6800.0,0.0,1250.0,120.0,436.0,0.0,328379.0,22937.0,18312.0,2024
Malang,2792797.0,644405.0,0.0,128855.0,320215.0,181292.0,26515.0,4641.0,1848.0,7220.0,341.0,15355.0,15128.0,82365.0,121095.0,65082.0,2024
Lumajang,205208.0,2278024.0,0.0,10184.0,24343.0,9846.0,20.0,0.0,0.0,581.0,0.0,1299.0,7130.0,7884.0,2500.0,0.0,2024
Jember,106010.0,128022.0,0.0,20865.0,42463.0,31873.0,1158.0,1137.0,1550.0,7623.0,1029.0,6323.0,11311.0,13662.0,3597.0,6752.0,2024
Banyuwangi,63390.0,134598.0,0.0,13372.0,40996.0,21896.0,184.0,113.0,72.0,636.0,76.0,155.0,2609.0,3689.0,33201.0,30996.0,2024
